id,year,type,venue,doi,title
346,2019,journal article,IEEE Access,10.1109/ACCESS.2019.2946659,Improved Multi-Agent Deep Deterministic Policy Gra
347,2020,journal article,IEEE Access,10.1109/ACCESS.2020.3034348,Improved Social Force Model Based on Emotional Con
348,2022,conference paper,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/CDC51059.2022.9993368,Multi-Robot-Assisted Human Crowd Evacuation using
349,2024,journal article,IEEE Transactions on Control Systems Technology,10.1109/TCST.2024.3410138,Multirobot-Guided Crowd Evacuation Two-Scale Mode
350,2018,journal article,IFAC-PapersOnLine,10.1016/j.ifacol.2018.07.067,Optimal number and location planning of evacuation
352,2019,journal article,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2018.2886415,Optimization of Crowd Evacuation With Leaders in U
353,2022,journal article,Computer Animation and Virtual Worlds,10.1002/cav.2035,Multiagent evacuation framework for a virtual fire
354,2022,journal article,Journal of Intelligent & Robotic Systems,10.1007/s10846-022-01594-4,Robot-Guided Crowd Evacuation in a Railway Hub Sta
355,2023,journal article,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2022.3188135,Crowd Evacuation With Multi-Modal Cooperative Guid
356,2016,journal article,Procedia Engineering,10.1016/j.proeng.2016.01.110,Experimental Study on Choice Behavior of Pedestria
357,2021,journal article,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2020.2996018,Optimal Feedback Control of Pedestrian Flow in Het
358,2020,journal article,Journal of Computing in Civil Engineering,10.1061/(ASCE)CP.1943-5487.0000889,Simulation of Crowd Evacuation under Toxic Gas Inc
401,2021,journal article,Frontiers in Robotics and AI,10.3389/frobt.2021.701938,Robot-Guided Evacuation as a Paradigm for Human-Robot Interaction Research
402,2014,journal article,International Journal of Information Systems for Crisis Response and Management,10.4018/IJISCRAM.2014070104,Comparing Different Crowd Emergency Evacuation Models Based on Human Centered Sensing Criteria
403,2012,conference paper,Cellular Automata (ACRI 2012),10.1007/978-3-642-33350-7_78,Follow-the-Leader Cellular Automata Based Model Directing Crowd Movement
501,2015,journal article,European Journal of Social Psychology,10.1002/ejsp.2108,Managing to avert disaster: Explaining collective resilience at an outdoor music event
502,2011,doctoral dissertation,CU Scholar (University of Colorado Boulder),,"Terror Defeated: Occupant Sensemaking, Decision-Making and Protective Action in the 2001 World Trade Center Disaster"
503,2008,journal article,British Journal of Social Psychology,10.1348/014466608x357893,Everyone for themselves? A comparative study of crowd solidarity among emergency survivors
504,2018,journal article,Social Behavior and Personality An International Journal,10.2224/sbp.6946,Social attachment shapes emergency responses: Evidence from a postfire study
505,2016,journal article,Safety Science,10.1016/j.ssci.2016.07.001,Modelling social identification and helping in evacuation simulation
506,2023,journal article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2023.103713,Information sharing and support among residents in response to fire incidents in high-rise residential buildings
507,2011,conference paper,"2011 IEEE International Symposium on Safety, Security, and Rescue Robotics",10.1109/ssrr.2011.6106783,Emergence of cooperation as the impact of evacuee's solidarity
508,2014,journal article,Transportation research procedia,10.1016/j.trpro.2014.09.099,Humans do not Always Act Selfishly: Social Identity and Helping in Emergency Evacuation Simulation
509,2001,preprint,"Library, Museums and Press - UDSpace (University of Delaware)",,"Collective Behavior In the September 11, 2001 Evacuation Of The World Trade Center"
510,2023,journal article,Frontiers in Psychology,10.3389/fpsyg.2023.1146056,“Are we in this together?”: embedding social identity detection in drones improves emergency coordination
511,2024,journal article,Collective Dynamics,10.17815/cd.2024.157,Understanding Crowd Responses to Perceived Hostile Threats: An Innovative Multidiscplinary Approach
512,2009,journal article,The Irish Journal of Psychology,10.1080/03033910.2009.10446298,The psychology of crowd behaviour in emergency evacuations: Results from two interview studies and implications for the Fire and Rescue Services
513,2012,journal article,SIMULATION,10.1177/0037549712456884,Qualitative simulation of the panic spread in large-scale evacuation
514,2013,journal article,Journal of Applied Social Psychology,10.1111/jasp.12176,Psychological disaster myths in the perception and management of mass emergencies
515,2014,journal article,Computer Animation and Virtual Worlds,10.1002/cav.1595,Modeling social behaviors in an evacuation simulator
516,2016,journal article,Adaptive Behavior,10.1177/1059712316635719,Quantifying the interplay of emotions and rationality in herding: A game-theoretic simulation study
517,2024,journal article,European Journal of Social Psychology,10.1002/ejsp.3105,Explaining a collective false alarm: Context and cognition in the Oxford Street crowd flight incident
518,2009,conference paper,2009 13th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,10.1109/ds-rt.2009.29,On the Efficiency of LifeBelt Based Crowd Evacuation
519,2014,journal article,Transportation Research Record Journal of the Transportation Research Board,10.3141/2421-06,Group Dynamics in Pedestrian Crowds
520,2017,journal article,International Journal of Pervasive Computing and Communications,10.1108/ijpcc-03-2017-0024,Modeling human factors influencing herding during evacuation
521,2019,conference paper,Annals of Computer Science and Information Systems,10.15439/2019f35,A Social Bonds Integration Approach for Crowd Panic Simulation
522,2015,doctoral dissertation,Deep Blue (University of Michigan),,Computational study of social interactions and collective behavior during human emergency egress
523,2011,journal article,Fire and Materials,10.1002/fam.1080,The World Trade Center evacuation study: Factors associated with initiation and length of time for evacuation
524,2016,conference paper,Procedia Engineering,10.1016/j.proeng.2016.01.091,Investigation of the Panic Psychology and Behaviors of Evacuation Crowds in Subway Emergencies
525,2021,journal article,Sustainability,10.3390/su13094623,Examining Evacuee Response to Emergency Communications with Agent-Based Simulations
526,2020,journal article,Collective Dynamics,10.17815/cd.2020.56,Measuring social influence and group formation during evacuation process
527,2018,journal article,Policing A Journal of Policy and Practice,10.1093/police/pay013,Social Identity and Intergroup Relationships in the Management of Crowds during Mass Emergencies and Disasters: Recommendations for Emergency Planners and Responders1
528,2021,journal article,Social Forces,10.1093/sf/soab036,Network Structure in Small Groups and Survival in Disasters
529,2024,journal article,Transportation Research Record Journal of the Transportation Research Board,10.1177/03611981241230523,Cellular Automata Model for Helping Behavior in Pedestrian Evacuation Based on Fuzzy Theory
