scenario_id,alarm_delay_s,iwd_share,smoke_level,emergency_lighting,environment_seed,initial_placement_seed,movement_seed,uptake_uniform_seed,planner_tie_break_seed
32,57.77046047,0.13270907,medium,nominal,4601285371356763584,2358949277094272846,2187469956194030868,4058361995495632517,812485556452614615
33,45.66006898,0.26267297,high,outage_50pct,3553423566848587342,6963475071398414131,9139063488026711338,1059851702790233098,7513383329763983434
34,12.05683237,0.04786990,low,nominal,9198868502516646339,3663353161571252959,5362572573938386467,2025201421361591492,7759594342351898165
35,22.89026345,0.09625726,high,nominal,8001713979932395662,6841791862026803737,3184903260448982180,3902899426389321293,2086563961820164833
36,37.90080181,0.42412724,medium,nominal,477148761986390809,1998931698176544222,9200311921039248530,1474982911209973627,4233247960040141146
37,18.37819927,0.03926532,high,nominal,6923685386976180585,433650602647402180,7724070663373969077,7106749842837527618,6221495234428573948
38,49.56661315,0.20932897,low,outage_50pct,27501853408562566,6319836844688166868,2172736668208242591,8238019495832598662,3898786950364753547
39,34.99189404,0.21565764,high,nominal,8728367621188394716,2760612296569036280,8620292038252087880,880597589428178526,4181409995748318199
40,28.57769672,0.43091746,low,outage_50pct,1487060519541031082,5150934141352510168,6650603058218404300,4398820857182432672,2747870912575397595
41,24.47072292,0.23034765,high,nominal,8259387120956427218,3865691118623050070,1934524313939065128,4421545346705379776,6166008884877615490
42,57.52405507,0.25106504,low,nominal,458994424835447917,1228859053167762067,5307589410496929558,4562334184817227625,8044774489539466338
43,8.93502236,0.12216576,medium,outage_50pct,2495724185407878542,1680313065688470009,6575170477755518119,6825408137714280591,6003898865964423454
44,2.66891398,0.18965678,high,outage_50pct,381733703669199183,3472628820534306679,8081885513436111161,7665106701278433343,4406793230353642359
45,30.98524995,0.09387720,medium,outage_50pct,4314031016351888659,4030696360840232051,493586761325407913,1639640050852510888,7899194804966772901
46,17.91338378,0.29313782,medium,nominal,5813449216697124945,3816962877436656085,7141174426151877007,4771090224418584924,4927354659018584267
47,47.20983492,0.48248036,medium,outage_50pct,5915250460840908943,1761434472989502771,1646083532261524709,4715685759405390561,7825816688164320287
48,26.80742835,0.32872366,low,nominal,3765169570265129834,9040478528968124412,5509738779494685901,6518727666270856413,1851810755270260956
49,16.48295562,0.22732437,medium,nominal,1709922734939635101,8451886260703809336,252525926359527561,2834931255177333465,5536483382578628712
50,1.54494561,0.04399736,low,nominal,13948938830902563,2591895985622103990,5327795434047998915,7754955358801398987,8654760808874883503
51,58.48630600,0.19142760,high,outage_50pct,6209543017882096211,7640137106982910435,2875548948949558034,1975815147834254277,6752799366477929947
52,37.26999625,0.17070648,medium,nominal,1144286167471195701,8813208919714359455,5846539024414721558,1720095413520911605,8674297783927643502
53,52.68063836,0.37131297,high,outage_50pct,9170000021355961978,2485173149140934266,7711268173179975041,8875855437642878837,7935541600227918258
54,7.03666753,0.07093060,high,outage_50pct,4297746588567778575,1835651160995695505,2111943185128415292,8321253200987756925,4093572991544519692
55,11.07313939,0.08725920,low,outage_50pct,6068842551186955830,6841658538437740962,8075970600226953440,7458167521757335650,341562621664091997
56,27.66030189,0.29539543,low,outage_50pct,3387289074822003420,2886540789556197656,2695424087212575121,8751969926894397837,2204311029883769064
57,30.39945936,0.16943665,medium,outage_50pct,3990739183842901155,6247894102339371420,1811060495062307115,4064586066812465600,7675526710450877830
58,9.58955021,0.21393309,high,outage_50pct,6414482053034544563,4386920431076435580,8541478587171289170,4885935183899981321,1815863144179589533
59,36.65815287,0.25947576,high,outage_50pct,2470636918373149678,1258225952653881511,2149582909690984975,5120647779519230815,2365857051431126771
60,56.90329364,0.37935595,low,outage_50pct,4849853237872025359,7936869464664591921,1667603484404281948,9017451802985249938,7782842698373803596
61,49.01573271,0.15951110,medium,nominal,9120868343100061708,6809425851802174777,2644762587883304233,2923408138898384171,9212618316442225652
62,5.57908402,0.10587487,medium,nominal,6405616484765924860,1294048997893817298,1151217991976956701,5051913877759447539,6024915103500875807
63,59.32885886,0.03444258,high,nominal,7856706137890353920,8531866204657243318,1771275958767989853,6905758120528537188,3139570042318763526
64,6.28627354,0.39837132,low,outage_50pct,7693333214220445761,2517964634836451465,6130207742471412724,5960686277468446984,8605494672547374303
65,51.16009288,0.31671698,medium,outage_50pct,2458770872950971490,7006619476786395338,5372967062634637390,3109302849745874292,950600009206062898
66,56.31653458,0.41167299,low,nominal,4508087166451219927,3969866554974844866,5407863898443109836,1754400091431315542,1463478169315343342
67,38.78182451,0.30238579,low,outage_50pct,4087828490734570256,8702503069852171597,2812188017948750766,1373524713639520739,8895459059704781715
68,31.76480385,0.47702860,high,outage_50pct,4341738538320698919,5903488544023596754,871166147231764571,5334400068186461978,7679261977219508987
69,50.31758973,0.44025018,high,outage_50pct,7585145201112138179,533259766171332000,1459179666371121607,3234267611382932804,6067204255856066752
70,44.03649741,0.36110251,high,nominal,1115547353246571889,4508732609266520864,7419721620364261160,2187382550968592605,2333821093640233610
71,21.55075133,0.16454417,low,nominal,4866059387522955860,7839729776673312576,5670613778428717782,9040849125688905104,4530141513477317226
72,59.51086917,0.45503837,low,nominal,5300326413631982903,5930868626600591835,186892922708313671,4569531285948522340,561722388137320741
73,32.76318666,0.35365740,high,nominal,912806318680861336,726004473174406200,2821807134965902587,7675653456352698267,1956079195333947841
74,0.53627973,0.31437984,medium,nominal,5361235987323347984,2324281905341998329,3589937117711539613,8525711749387121693,7536847148665292729
75,24.80555506,0.18458117,low,nominal,8709600315844806422,7476592641428883234,1066778013574287570,6569603815596919066,3096945410966269255
76,33.45835822,0.27277115,high,outage_50pct,6088529442947789770,6850240854357761030,2334595729228824071,4543883092854563171,7291434419167951510
77,54.70396443,0.17801622,medium,nominal,1411338336498255878,5897903675957005460,2914562856150404551,3858888471691366190,6695003314413050418
78,45.11430279,0.14224565,medium,outage_50pct,8830208357127976461,7502840501531983864,4931181885806000328,6100796264708913773,2140404514037059629
79,20.65481418,0.05356036,low,nominal,503223062635447919,1699486693370692457,1923444676944241447,5580338492078947524,1631580087573046341
80,4.84639434,0.01011621,medium,nominal,6361949130353008532,7149046024837823569,7090306882581124530,3672289199213794957,5737522762307717318
81,29.83066565,0.41859191,low,outage_50pct,4860368069262696417,1441468328612008055,680539097908533610,1280278588957029961,3067026860056525393
82,16.84103029,0.19808794,high,outage_50pct,1445737092175044286,6194772749670647367,6178178628909532369,2787956707339517574,3084335917307988214
83,36.28959391,0.30857450,low,outage_50pct,708215609257735385,4950094497806758812,4712117732849319512,8278003273060778570,6376493695770667305
84,43.66294994,0.38872531,medium,nominal,1060825942858995311,5606136568619110539,3883040184910106954,8689372772038721462,1076166632557936427
85,14.97399875,0.44951640,high,nominal,5327259379411355146,6176553063149501722,3817967275566743121,2471865123563687986,9084756723874210302
86,43.11817252,0.40727375,medium,outage_50pct,7955910808459085313,15741559617768952,6334957574997218915,1837934062188286188,8122971899852273366
87,53.17842635,0.32190698,low,nominal,5239535145260258801,3238602419789620015,1155009771210600028,6996080580861722148,8300590057778871255
88,23.49470817,0.13951398,high,outage_50pct,8625124821736455247,7534927085937138058,7468222802900879778,5911712524244048993,7814054707681143025
89,4.62392846,0.11688004,high,nominal,9021345126158476151,479510905149362068,8426321573304279337,2948692595266373507,3922103275314949139
90,9.76636443,0.28163907,high,outage_50pct,1614960594422093836,6972651390554923371,3631690048633956091,4824552715021216601,6100828224743494436
91,13.09149057,0.49579610,high,outage_50pct,281277117416254580,2949317994797725584,1625143342828368744,1121492642686691452,2331102132986019591
92,19.30616307,0.42842488,medium,nominal,5422284176530252592,5108003170105277026,1764706521830313581,4365554273542256816,8744243275922422161
93,35.76537702,0.40254731,high,outage_50pct,1585501325950267001,1094282069017352356,5847595303923635230,3534649620715750572,7148272072864205712
94,22.26703525,0.34013734,medium,outage_50pct,2824968166752306471,8218847638488737483,1277336450216156650,8539198863762663815,1967008354625782220
95,41.83924148,0.20463665,medium,nominal,6815365331324457399,5734089381522270554,6700208626883172329,1052055030864452474,8275107727949826172
96,0.88623350,0.07693420,low,outage_50pct,687587427918336821,9010854982509663294,2980216531296589310,7740679863123417444,7840609232930059897
97,10.54490969,0.06738117,low,outage_50pct,7873846525560876658,2390972250449373997,1785156757919243289,2185325863707312849,1319996424295299038
98,47.53209180,0.34638417,low,nominal,3578190475380047443,2798137313509294001,110635051355539697,7695965375482540083,7436055043082360165
99,20.11807317,0.46727378,medium,nominal,9191226647805299335,3211877910582783684,7608316402488904849,6454103540617168665,821893985563934781
100,53.73642610,0.06153155,low,nominal,5858696882713913496,7833993655151863272,4745909850766786938,2589521983988780093,6402573602044036313
