occupancy_key,occupancy_row,room_id,floor,area_sqft,capacity_raw_persons,assigned_agents
F2-S111,111,233,2,89.8,4.49,3
F2-S112,112,234,2,90.56,4.5280000000000005,3
F2-S113,113,235,2,118.34,5.917,4
F2-S114,114,236,2,87.83,4.3915,3
F2-S115,115,237,2,87.03,4.3515,3
F2-S116,116,238,2,166.13,8.3065,5
F2-S117,117,239,2,92.83,4.6415,3
F2-S118,118,240,2,92.43,4.6215,3
F2-S119,119,241,2,87.03,4.3515,3
F2-S120,120,242,2,89.68,4.484,3
F2-S121,121,243,2,90.06,4.503,3
F2-S122,122,244,2,89.58,4.479,3
F2-S123,123,245,2,90.43,4.5215000000000005,3
F2-S124,124,246,2,89.58,4.479,3
F2-S125,125,247,2,92.69,4.6345,3
F2-S126,126,248,2,243.15,12.1575,8
F2-S127,127,248A,2,137.42,6.8709999999999996,4
F2-S128,128,248B,2,105.98,5.299,3
F2-S129,129,248C,2,99.73,4.9865,3
F2-S130,130,249A,2,58.8,2.94,2
F2-S131,131,249B,2,60.94,3.0469999999999997,2
F2-S132,132,249C,2,58.57,2.9285,2
F2-S133,133,249D,2,43.95,2.1975000000000002,1
F2-S134,134,250,2,92.81,4.6405,3
F2-S135,135,251,2,99.66,4.983,3
F2-S136,136,252,2,179.12,8.956,6
F2-S137,137,253,2,218.74,10.937000000000001,7
F2-S138,138,254,2,216.1,10.805,7
F2-S139,139,255A,2,410.1,20.505000000000003,13
F2-S140,140,255B,2,408.64,20.432,13
F2-S141,141,256,2,126.46,6.3229999999999995,4
F2-S142,142,257,2,83.46,4.173,3
F2-S143,143,258,2,172.52,8.626000000000001,6
F2-S144,144,259,2,101.95,5.0975,3
F2-S145,145,260,2,525.54,26.276999999999997,17
F2-S146,146,261,2,113.41,5.6705,4
F2-S147,147,262,2,355.26,17.762999999999998,12
F2-S148,148,263,2,149.79,7.4895,5
F2-S149,149,264,2,467.18,23.359,15
F2-S150,150,264A,2,88.24,4.412,3
F2-S151,151,264B,2,81.34,4.067,3
F2-S152,152,264C,2,291.33,14.5665,9
F2-S153,153,264D,2,87.86,4.393,3
F2-S154,154,265,2,113.3,5.665,4
F2-S155,155,266,2,84.12,4.206,3
F2-S156,156,267,2,109.06,5.453,4
F2-S157,157,268,2,82.63,4.1315,3
F2-S158,158,269,2,158.53,7.9265,5
F2-S159,159,270,2,547.99,27.3995,18
F2-S160,160,271,2,486.81,24.3405,16
F2-S161,161,272,2,466.61,23.3305,15
F2-S162,162,273,2,292.96,14.648,9
F2-S163,163,274,2,138.43,6.9215,4
F2-S164,164,275,2,340.91,17.0455,11
F2-S165,165,276,2,289.22,14.461000000000002,9
F2-S166,166,277,2,418.19,20.9095,14
F2-S167,167,278,2,124.13,6.2065,4
F2-S168,168,280,2,82.55,4.1274999999999995,3
F2-S169,169,282,2,168.73,8.436499999999999,5
F2-S170,170,283,2,80.09,4.0045,3
F2-S171,171,284,2,94.87,4.7435,3
F2-S172,172,285,2,308.44,15.422,10
F2-S173,173,286,2,485.47,24.273500000000002,16
F3-S174,174,300A,3,136.58,6.829000000000001,4
F3-S175,175,300B,3,118.34,5.917,4
F3-S176,176,300F,3,93.85,4.6925,3
F3-S177,177,300K,3,85.42,4.271,3
F3-S178,178,300P,3,48.02,2.4010000000000002,2
F3-S179,179,301,3,260.36,13.018,8
F3-S180,180,301A,3,262.0,13.1,8
F3-S181,181,301B,3,338.36,16.918,11
F3-S182,182,302,3,183.63,9.1815,6
F3-S183,183,302A,3,355.26,17.762999999999998,12
F3-S184,184,302B,3,341.59,17.0795,11
F3-S185,185,303,3,153.32,7.6659999999999995,5
F3-S186,186,303,3,85.7,4.285,3
F3-S187,187,304,3,79.57,3.9784999999999995,3
F3-S188,188,305,3,168.96,8.448,5
F3-S189,189,306,3,49.87,2.4935,2
F3-S190,190,307,3,85.42,4.271,3
F3-S191,191,308,3,204.46,10.223,7
F3-S192,192,309,3,160.31,8.0155,5
F3-S193,193,309A,3,117.16,5.858,4
F3-S194,194,310,3,161.25,8.0625,5
F3-S195,195,311,3,66.66,3.3329999999999997,2
F3-S196,196,312,3,55.39,2.7695,2
F3-S197,197,313,3,71.01,3.5505000000000004,2
F3-S198,198,314,3,76.11,3.8055,2
F3-S199,199,315,3,76.11,3.8055,2
F3-S200,200,315A,3,54.71,2.7355,2
F3-S201,201,316,3,87.26,4.363,3
F3-S202,202,317,3,92.21,4.6105,3
F3-S203,203,317A,3,87.55,4.3774999999999995,3
F3-S204,204,317B,3,134.7,6.734999999999999,4
F3-S205,205,318,3,88.1,4.404999999999999,3
F3-S206,206,319,3,87.34,4.367,3
F3-S207,207,320,3,90.02,4.5009999999999994,3
F3-S208,208,321,3,88.66,4.433,3
F3-S209,209,322,3,87.65,4.3825,3
F3-S210,210,323,3,91.07,4.5535,3
F3-S211,211,324,3,86.46,4.3229999999999995,3
F3-S212,212,325,3,89.18,4.4590000000000005,3
F3-S213,213,326,3,89.06,4.453,3
F3-S214,214,327,3,88.74,4.436999999999999,3
F3-S215,215,328,3,87.11,4.3555,3
F3-S216,216,329,3,90.61,4.5305,3
F3-S217,217,330,3,87.11,4.3555,3
F3-S218,218,331,3,193.23,9.6615,6
F3-S219,219,332,3,89.8,4.49,3
F3-S220,220,333,3,90.56,4.5280000000000005,3
F3-S221,221,334,3,87.83,4.3915,3
F3-S222,222,335,3,166.13,8.3065,5
F3-S223,223,335A,3,48.84,2.442,2
F3-S224,224,336,3,87.03,4.3515,3
F3-S225,225,337,3,92.83,4.6415,3
F3-S226,226,338,3,92.43,4.6215,3
F3-S227,227,339,3,89.68,4.484,3
F3-S228,228,340,3,90.06,4.503,3
F3-S229,229,341,3,89.58,4.479,3
F3-S230,230,342,3,90.43,4.5215000000000005,3
F3-S231,231,343,3,92.69,4.6345,3
F3-S232,232,344,3,243.15,12.1575,8
F3-S233,233,344A,3,137.42,6.8709999999999996,4
F3-S234,234,344B,3,99.73,4.9865,3
F3-S235,235,344C,3,105.98,5.299,3
F3-S236,236,345A,3,58.8,2.94,2
F3-S237,237,345B,3,60.94,3.0469999999999997,2
F3-S238,238,345C,3,58.57,2.9285,2
F3-S239,239,345D,3,43.95,2.1975000000000002,1
F3-S240,240,346,3,92.81,4.6405,3
F3-S241,241,347,3,99.66,4.983,3
F3-S242,242,348,3,178.12,8.906,6
F3-S243,243,349,3,218.74,10.937000000000001,7
F3-S244,244,350,3,216.1,10.805,7
F3-S245,245,351,3,170.15,8.5075,5
F3-S246,246,352,3,148.24,7.412000000000001,5
F3-S247,247,353,3,171.39,8.5695,6
F3-S248,248,355,3,451.58,22.579,15
F3-S249,249,356,3,126.46,6.3229999999999995,4
F3-S250,250,357,3,83.46,4.173,3
F3-S251,251,358,3,575.51,28.7755,19
F3-S252,252,359,3,101.95,5.0975,3
F3-S253,253,360,3,113.41,5.6705,4
F3-S254,254,361,3,149.79,7.4895,5
F3-S255,255,362,3,169.58,8.479000000000001,5
F3-S256,256,363,3,113.3,5.665,4
F3-S257,257,364,3,467.18,23.359,15
F3-S258,258,364A,3,197.57,9.878499999999999,6
F3-S259,259,365,3,171.98,8.599,6
F3-S260,260,366,3,109.06,5.453,4
F3-S261,261,367,3,158.53,7.9265,5
F3-S262,262,368,3,82.63,4.1315,3
F3-S263,263,368A,3,93.75,4.6875,3
F3-S264,264,369,3,466.61,23.3305,15
F3-S265,265,370,3,547.99,27.3995,18
F3-S266,266,371,3,311.69,15.5845,10
F3-S267,267,372,3,466.61,23.3305,15
F3-S268,268,373,3,405.05,20.2525,13
F3-S269,269,374,3,68.23,3.4115,2
F3-S270,270,375,3,323.84,16.192,10
F3-S271,271,376,3,311.69,15.5845,10
F3-S272,272,376A,3,141.3,7.065,5
F3-S273,273,376B,3,70.21,3.5104999999999995,2
F3-S274,274,377,3,330.36,16.518,11
F3-S275,275,378,3,124.13,6.2065,4
F3-S276,276,379,3,161.25,8.0625,5
F3-S277,277,380,3,82.55,4.1274999999999995,3
F3-S278,278,381,3,160.31,8.0155,5
F3-S279,279,382,3,80.09,4.0045,3
F3-S280,280,384,3,94.87,4.7435,3
F3-S281,281,386,3,90.17,4.5085,3
F3-S282,282,387,3,31.15,1.5574999999999999,1
F4-S283,283,401,4,5719.07,285.95349999999996,186
F4-S284,284,402,4,134.0,6.7,4
F4-S285,285,402A,4,326.4,16.32,11
F4-S286,286,403A,4,56.26,2.8129999999999997,2
F4-S287,287,403B,4,62.31,3.1155,2
F4-S288,288,403C,4,63.89,3.1945,2
F4-S289,289,404,4,93.13,4.656499999999999,3
F4-S290,290,404A,4,57.32,2.866,2
F4-S291,291,404B,4,62.57,3.1285,2
F4-S292,292,404C,4,64.3,3.215,2
F4-S293,293,404D,4,213.25,10.6625,7
F4-S294,294,405,4,130.68,6.534000000000001,4
F4-S295,295,406,4,404.17,20.2085,13
F4-S296,296,407,4,209.91,10.4955,7
F4-S297,297,408,4,323.66,16.183,10
F4-S298,298,409,4,444.99,22.2495,14
F4-S299,299,410,4,147.55,7.3775,5
F4-S300,300,411A,4,66.56,3.3280000000000003,2
F4-S301,301,411B,4,55.98,2.799,2
F4-S302,302,411C,4,62.0,3.1,2
F4-S303,303,412,4,364.64,18.232,12
F4-S304,304,413,4,100.61,5.0305,3
F4-S305,305,414,4,138.04,6.901999999999999,4
F4-S306,306,415,4,134.96,6.748,4
F4-S307,307,416,4,93.18,4.659000000000001,3
F4-S308,308,417,4,90.58,4.529,3
F4-S309,309,418,4,87.84,4.392,3
F4-S310,310,419,4,93.69,4.6845,3
F4-S311,311,420,4,88.73,4.4365000000000006,3
F4-S312,312,421,4,185.61,9.2805,6
F4-S313,313,422,4,182.62,9.131,6
F4-S314,314,423,4,93.76,4.688000000000001,3
F4-S315,315,424,4,149.29,7.464499999999999,5
F4-S316,316,424A,4,161.01,8.0505,5
F4-S317,317,425,4,89.26,4.463,3
F4-S318,318,426,4,133.99,6.6995000000000005,4
F4-S319,319,427,4,134.65,6.7325,4
F4-S320,320,428,4,135.4,6.7700000000000005,4
F4-S321,321,429,4,131.55,6.577500000000001,4
F4-S322,322,431,4,223.21,11.1605,7
F4-S323,323,432,4,187.44,9.372,6
F4-S324,324,433B,4,53.97,2.6985,2
F4-S325,325,433C,4,45.26,2.263,1
F4-S326,326,433D,4,41.53,2.0765000000000002,1
F4-S327,327,434,4,87.91,4.3955,3
F4-S328,328,435,4,91.41,4.5705,3
F4-S329,329,436A,4,57.44,2.872,2
F4-S330,330,436B,4,61.92,3.096,2
F4-S331,331,437,4,124.52,6.226,4
F4-S332,332,438,4,216.31,10.8155,7
F4-S333,333,439,4,183.06,9.153,6
F4-S334,334,440,4,51.88,2.5940000000000003,2
F4-S335,335,441,4,26.07,1.3035,1
F4-S336,336,442A,4,34.76,1.738,1
F4-S337,337,442B,4,38.63,1.9315000000000002,1
F4-S338,338,442C,4,72.31,3.6155,2
F4-S339,339,442D,4,52.23,2.6115,2
F4-S340,340,442E,4,78.02,3.901,3
F4-S341,341,442F,4,51.39,2.5695,2
F4-S342,342,443,4,198.59,9.9295,6
F4-S343,343,444,4,109.61,5.4805,4
F4-S344,344,445,4,118.98,5.949,4
F4-S345,345,446,4,102.38,5.119,3
F4-S346,346,447,4,242.07,12.1035,8
F4-S347,347,447A,4,87.91,4.3955,3
F4-S348,348,447B,4,78.81,3.9405,3
F4-S349,349,447C,4,72.41,3.6205,2
F4-S350,350,447D,4,74.42,3.721,2
F4-S351,351,447E,4,76.41,3.8205,2
F4-S352,352,447F,4,73.92,3.696,2
F4-S353,353,447G,4,91.51,4.5755,3
F4-S354,354,447H,4,84.52,4.226,3
F4-S355,355,450,4,27.05,1.3525,1
F4-S356,356,400E,4,27.05,1.3525,1
F4-S357,357,400F,4,38.35,1.9175,1
F4-S358,358,451,4,91.36,4.568,3
