id,source,family,year,etype,venue,doi,title,cited_by,rationale,coding_status,verify_status
511,w3,SS-1,2024,article,Collective Dynamics,10.17815/cd.2024.157,Understanding Crowd Responses to Perceived Hostile Threats: An Innovative Multidiscplinary Approach,2,"crowd responses to hostile threat, multidisciplinary",PENDING,PENDING_C1
512,w3,SS-2,2009,article,The Irish Journal of Psychology,10.1080/03033910.2009.10446298,The psychology of crowd behaviour in emergency evacuations: Results from two interview studies and implications for the Fire and Rescue Services,106,"two interview studies of survivors, panic myth (distinct from drury_cooperation_2009)",PENDING,PENDING_C1
513,w3,SS-2,2012,article,SIMULATION,10.1177/0037549712456884,Qualitative simulation of the panic spread in large-scale evacuation,42,panic spread with rescue guidance,PENDING,PENDING_C1
514,w3,SS-2,2013,article,Journal of Applied Social Psychology,10.1111/jasp.12176,Psychological disaster myths in the perception and management of mass emergencies,103,"disaster myths held by responders, compliance assumptions",PENDING,PENDING_C1
515,w3,SS-4,2014,article,Computer Animation and Virtual Worlds,10.1002/cav.1595,Modeling social behaviors in an evacuation simulator,45,social groups in egress simulation,PENDING,PENDING_C1
516,w3,SS-2,2016,article,Adaptive Behavior,10.1177/1059712316635719,Quantifying the interplay of emotions and rationality in herding: A game-theoretic simulation study,11,"herding, emotion vs rationality",PENDING,PENDING_C1
517,w3,SS-2,2024,article,European Journal of Social Psychology,10.1002/ejsp.3105,Explaining a collective false alarm: Context and cognition in the Oxford Street crowd flight incident,2,"collective false alarm, 39 interviews",PENDING,PENDING_C1
518,w3,SS-2,2009,inproceedings,2009 13th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,10.1109/ds-rt.2009.29,On the Efficiency of LifeBelt Based Crowd Evacuation,23,vibrotactile wearable guidance modality,PENDING,PENDING_C1
519,w3,SS-4,2014,article,Transportation Research Record Journal of the Transportation Research Board,10.3141/2421-06,Group Dynamics in Pedestrian Crowds,37,"group dynamics in pedestrian crowds, empirical",PENDING,PENDING_C1
520,w3,SS-2,2017,article,International Journal of Pervasive Computing and Communications,10.1108/ijpcc-03-2017-0024,Modeling human factors influencing herding during evacuation,5,herding human factors,PENDING,PENDING_C1
521,w3,SS-1,2019,inproceedings,Annals of Computer Science and Information Systems,10.15439/2019f35,A Social Bonds Integration Approach for Crowd Panic Simulation,1,social bonds in crowd panic simulation,PENDING,PENDING_C1
522,w3,SS-1,2015,phdthesis,Deep Blue (University of Michigan),,Computational study of social interactions and collective behavior during human emergency egress,0,"dissertation, social interactions in egress [ADMITTED by author decision 2026-08-11]",PENDING,PENDING_C1
523,w3,SS-5,2011,article,Fire and Materials,10.1002/fam.1080,The World Trade Center evacuation study: Factors associated with initiation and length of time for evacuation,74,"WTC evacuation initiation behavior, large empirical",PENDING,PENDING_C1
524,w3,SS-2,2016,inproceedings,Procedia Engineering,10.1016/j.proeng.2016.01.091,Investigation of the Panic Psychology and Behaviors of Evacuation Crowds in Subway Emergencies,53,"panic psychology questionnaire, 141 respondents, subway",PENDING,PENDING_C1
525,w3,SS-1,2021,article,Sustainability,10.3390/su13094623,Examining Evacuee Response to Emergency Communications with Agent-Based Simulations,12,emergency communication strategy and evacuee response,PENDING,PENDING_C1
526,w3,SS-4,2020,article,Collective Dynamics,10.17815/cd.2020.56,Measuring social influence and group formation during evacuation process,2,empirical measurement of social influence and group formation,PENDING,PENDING_C1
527,w3,SS-1,2018,article,Policing A Journal of Policy and Practice,10.1093/police/pay013,Social Identity and Intergroup Relationships in the Management of Crowds during Mass Emergencies and Disasters: Recommendations for Emergency Planners and Responders1,43,social identity and intergroup relations in crowd management,PENDING,PENDING_C1
528,w3,SS-1,2021,article,Social Forces,10.1093/sf/soab036,Network Structure in Small Groups and Survival in Disasters,5,"network structure, roles and survival in disasters (Social Forces)",PENDING,PENDING_C1
529,w3,SS-2,2024,article,Transportation Research Record Journal of the Transportation Research Board,10.1177/03611981241230523,Cellular Automata Model for Helping Behavior in Pedestrian Evacuation Based on Fuzzy Theory,2,helping behavior modeled in evacuation,PENDING,PENDING_C1
